,loss,ema_loss,accuracy
0,4.39640998840332,4.39640998840332,0.046875
1,4.222355365753174,4.394669442176819,0.046875
2,4.437560081481934,4.395098348569871,0.109375
3,4.380542755126953,4.394952792635442,0.078125
4,4.539987564086914,4.396403140349956,0.078125
5,4.420107841491699,4.396640187361374,0.125
6,3.759464740753174,4.390268432895292,0.15625
7,4.409185886383057,4.39045760743017,0.09375
8,3.9105162620544434,4.385658193976413,0.15625
9,4.460432052612305,4.386405932562773,0.09375
10,4.456586837768555,4.38710774161483,0.09375
11,3.98954176902771,4.383132081888959,0.109375
12,3.5092968940734863,4.374393730010805,0.046875
13,3.884656429290771,4.369496357003605,0.046875
14,3.902945518493652,4.364830848618506,0.0625
15,3.604665279388428,4.357229192926205,0.140625
16,3.1293840408325195,4.344950741405268,0.15625
17,3.1463215351104736,4.332964449342319,0.21875
18,3.7212204933166504,4.326847009782063,0.078125
19,3.461480140686035,4.318193341091103,0.109375
20,3.1792521476745605,4.3068039291569375,0.109375
21,3.268540620803833,4.296421296073407,0.109375
22,3.3133583068847656,4.286590666181521,0.09375
23,3.4969372749328613,4.278694132269035,0.125
24,3.3361659049987793,4.269268849996332,0.125
25,3.3485093116760254,4.260061254613129,0.15625
26,3.2015767097473145,4.249476409164471,0.09375
27,3.4633853435516357,4.2416154985083425,0.046875
28,3.2901759147644043,4.232101102670903,0.09375
29,3.109504222869873,4.220875133872893,0.0625
30,2.9830801486968994,4.208497184021133,0.078125
31,3.2362351417541504,4.198774563598463,0.09375
32,2.71998929977417,4.1839867109602205,0.203125
33,3.054889678955078,4.172695740640169,0.078125
34,3.207331895828247,4.163042102192049,0.109375
35,3.346546173095703,4.154877142901086,0.03125
36,2.791358232498169,4.141241953797056,0.0625
37,2.970923900604248,4.1295387732651285,0.078125
38,2.911855459213257,4.11736194012461,0.0625
39,2.801172971725464,4.104200050440618,0.078125
40,2.7810678482055664,4.090968728418268,0.109375
41,2.710198402404785,4.077161025158134,0.140625
42,2.7851102352142334,4.064240517258694,0.078125
43,2.9141082763671875,4.052739194849779,0.109375
