,loss,ema_loss,accuracy
0,4.705560207366943,4.705560207366943,0.0
1,4.6533355712890625,4.705037961006164,0.0
2,4.759305953979492,4.705580640935898,0.03125
3,4.660378932952881,4.7051286238560674,0.03125
4,4.712412357330322,4.70520146119081,0.03125
5,4.8216705322265625,4.706366151901167,0.0
6,4.684545040130615,4.706147940783461,0.0
7,4.595492839813232,4.7050413897737595,0.0
8,4.640747547149658,4.704398451347518,0.0
9,4.582646369934082,4.703180930533383,0.125
10,4.56426477432251,4.701791768971275,0.0
11,4.8947224617004395,4.703721075898566,0.0
12,4.61253547668457,4.702809219906427,0.0
13,4.586843013763428,4.701649557844997,0.03125
14,4.648947715759277,4.701122539424139,0.0
15,4.637099266052246,4.70048230669042,0.0
16,4.7172417640686035,4.700649901264201,0.0
17,4.506858825683594,4.698711990508395,0.03125
18,4.635351657867432,4.698078387181985,0.0
19,4.740898609161377,4.698506589401779,0.0
20,4.581314563751221,4.697334669145274,0.03125
21,4.582001686096191,4.6961813393147835,0.03125
22,4.699589252471924,4.6962154184463545,0.0
23,4.601236343383789,4.695265627695729,0.0
24,4.630674362182617,4.694619715040598,0.03125
25,4.592947006225586,4.693602987952447,0.0
26,4.74287748336792,4.694095732906602,0.0
27,4.562627792358398,4.69278105350112,0.0
28,4.684271812438965,4.692695961090499,0.0
29,4.6981000900268555,4.692750002379863,0.0
30,4.609055995941162,4.691913062315476,0.03125
31,4.76806116104126,4.692674543302734,0.0
32,4.625141143798828,4.691999209307695,0.0
33,4.682439804077148,4.69190361525539,0.0625
34,4.704978942871094,4.692034368531547,0.0
35,4.674479961395264,4.6918588244601835,0.0
36,4.648877143859863,4.69142900765418,0.0
37,4.7540435791015625,4.692055153368654,0.0
38,4.56254243850708,4.690760026220038,0.03125
39,4.774012565612793,4.691592551613966,0.0
40,4.625827312469482,4.690934899222522,0.0
41,4.613896369934082,4.690164513929637,0.0
42,4.58945369720459,4.689157405762386,0.0625
43,4.60149621963501,4.688280793901112,0.03125
44,4.5964436531066895,4.687362422493168,0.0
45,4.5929484367370605,4.686418282635606,0.0
46,4.627534866333008,4.68582944847258,0.0
47,4.676687717437744,4.685738031162232,0.0
48,4.615801811218262,4.685038668962792,0.0
49,4.651854515075684,4.684706827423922,0.0
50,4.60886812210083,4.683948440370691,0.0
51,4.631965637207031,4.683428612339054,0.03125
52,4.666238307952881,4.683256709295192,0.0
53,4.609591960906982,4.68252006181131,0.0
54,4.58059024810791,4.681500763674276,0.0
55,4.621166706085205,4.6808974230983855,0.0
56,4.6185455322265625,4.680273904189667,0.0
57,4.643009662628174,4.679901261774052,0.0
58,4.626462936401367,4.679366878520326,0.0
59,4.612194061279297,4.678695150347916,0.03125
60,4.631444454193115,4.678222643386367,0.0
61,4.582273483276367,4.677263151785267,0.03125
62,4.623843193054199,4.676728952197956,0.0
63,4.600912094116211,4.675970783617138,0.03125
64,4.598848819732666,4.675199563978293,0.03125
65,4.556535243988037,4.674012920778391,0.03125
66,4.600260257720947,4.673275394147816,0.0
67,4.62087345123291,4.672751374718667,0.0
68,4.594985485076904,4.671973715822249,0.0
69,4.590012550354004,4.671154104167567,0.03125
70,4.569352149963379,4.670136084625525,0.0625
71,4.614005088806152,4.66957477466733,0.0
72,4.625799179077148,4.669137018711429,0.0
73,4.556315898895264,4.668008807513267,0.0
74,4.611992835998535,4.66744864779812,0.03125
75,4.595486640930176,4.666729027729441,0.0
76,4.5982208251953125,4.666043945704099,0.0
77,4.626883029937744,4.665652336546436,0.0625
78,4.591940879821777,4.664915221979189,0.0
79,4.5741047859191895,4.664007117618589,0.0
80,4.606239318847656,4.66342943963088,0.0
81,4.550477027893066,4.662299915513501,0.03125
82,4.611661434173584,4.661793530700103,0.0
83,4.577999114990234,4.660955586543004,0.0
84,4.63166618347168,4.6606626925122905,0.03125
85,4.629748344421387,4.660353549031381,0.03125
86,4.5619120597839355,4.659369134138907,0.03125
87,4.626846790313721,4.659043910700655,0.03125
88,4.620786190032959,4.658661333493978,0.0
89,4.550174713134766,4.657576467290386,0.03125
90,4.664789199829102,4.6576485946157735,0.0
91,4.608376979827881,4.657155878467894,0.03125
92,4.590544700622559,4.6564897666894405,0.0
93,4.577568531036377,4.65570055433291,0.03125
94,4.572625160217285,4.6548698003917535,0.0
95,4.58310604095459,4.654152162797382,0.0
96,4.6382670402526855,4.653993311571934,0.0
97,4.668054103851318,4.654133919494728,0.0
98,4.597584247589111,4.653568422775672,0.0
99,4.609611511230469,4.65312885366022,0.0
100,4.618215084075928,4.652779715964377,0.0
101,4.570995330810547,4.65196187211284,0.0625
102,4.620363712310791,4.6516458905148195,0.0
103,4.5627312660217285,4.650756744269889,0.0
104,4.583618640899658,4.650085363236186,0.03125
105,4.6037797927856445,4.64962230753168,0.0
106,4.615323066711426,4.6492793151234775,0.03125
107,4.5825676918029785,4.648612198890272,0.0
108,4.546653747558594,4.647592614376956,0.03125
109,4.566197395324707,4.646778662186433,0.0
110,4.660310745239258,4.646913983016962,0.0
111,4.610875129699707,4.646553594483789,0.0
112,4.6519775390625,4.646607833929576,0.0
113,4.580249309539795,4.645944248685679,0.03125
114,4.60474157333374,4.64553222193216,0.03125
115,4.639164447784424,4.645468544190683,0.0
116,4.655123233795166,4.645565091086728,0.0
117,4.565370082855225,4.644763141004413,0.09375
118,4.590352535247803,4.644219034946847,0.0
119,4.591701030731201,4.64369385490469,0.0
120,4.577834606170654,4.643035262417349,0.03125
121,4.587047100067139,4.642475380793847,0.0
122,4.545322895050049,4.641503855936409,0.0625
123,4.5702290534973145,4.640791107912018,0.03125
124,4.581361293792725,4.640196809770825,0.0
125,4.598177909851074,4.639776620771627,0.0
126,4.573056221008301,4.6391094167739935,0.03125
127,4.609194755554199,4.6388102701617955,0.0
128,4.612905979156494,4.638551227251742,0.0
129,4.583280563354492,4.637998520612769,0.0
130,4.5960588455200195,4.637579123861842,0.03125
131,4.592926025390625,4.63713259287713,0.0
132,4.640192985534668,4.637163196803705,0.09375
133,4.502003192901611,4.635811596764684,0.03125
134,4.568982124328613,4.635143302040324,0.03125
135,4.576270580291748,4.634554574822838,0.03125
136,4.6312031745910645,4.63452106082052,0.0
137,4.567756175994873,4.633853411972264,0.03125
138,4.574244499206543,4.633257322844606,0.03125
139,4.581869125366211,4.632743440869821,0.0625
140,4.583412170410156,4.632250128165224,0.0
141,4.5612473487854,4.631540100371426,0.09375
142,4.505410194396973,4.630278801311682,0.03125
143,4.570720195770264,4.629683215256267,0.09375
144,4.5923638343811035,4.629310021447515,0.0
145,4.5433244705200195,4.62845016593824,0.0
146,4.585500717163086,4.628020671450488,0.03125
147,4.676784992218018,4.6285083146581645,0.0
148,4.5727643966674805,4.627950875478258,0.0625
149,4.547262191772461,4.6271439886412,0.0
150,4.623623847961426,4.627108787234403,0.03125
151,4.587695121765137,4.62671465057971,0.03125
152,4.586546421051025,4.626312968284423,0.03125
153,4.685330390930176,4.62690314251088,0.0
154,4.488074779510498,4.6255148588808765,0.0625
155,4.489956855773926,4.624159278849807,0.0625
156,4.391038417816162,4.62182807023947,0.15625
157,4.643179893493652,4.622041588472013,0.0
158,4.5523152351379395,4.621344324938672,0.0
159,4.567934989929199,4.620810231588578,0.0
160,4.556834697723389,4.6201704762499265,0.0
161,4.525860786437988,4.619227379351807,0.03125
162,4.638671398162842,4.619421819539918,0.0
163,4.449362754821777,4.617721228892736,0.0625
164,4.634408950805664,4.617888106111866,0.0
165,4.399482250213623,4.615704047552883,0.03125
166,4.454018592834473,4.6140871930057,0.0
167,4.568480014801025,4.613631121223653,0.03125
168,4.443046569824219,4.611925275709659,0.03125
