,loss,ema_loss,accuracy,learning_rate
1,9.874784469604492,9.874784469604492,0.0,2.5e-07
2,9.827170372009276,9.87430832862854,0.0,5e-07
3,9.864826202392578,9.87421350736618,0.0,7.5e-07
4,9.930785179138184,9.8747792240839,0.0,1e-06
5,9.893858909606934,9.87497002093913,0.000244140625,1.25e-06
6,9.882387161254885,9.875044192342289,0.0,1.5e-06
7,9.898988723754885,9.875283637656414,0.0,1.75e-06
8,9.862865447998049,9.875159455759832,0.0,2e-06
9,9.86265754699707,9.875034436672204,0.0,2.25e-06
10,9.844093322753906,9.874725025533024,0.0,2.5e-06
11,9.825892448425291,9.874236699761944,0.0,2.75e-06
12,9.873479843139648,9.87422913119572,0.0,3e-06
13,9.875314712524414,9.874239987009007,0.0,3.25e-06
14,9.792742729187012,9.873425014430786,0.0,3.5e-06
15,9.78366470336914,9.87252741132017,0.0,3.75e-06
16,9.77182388305664,9.871520376037536,0.000244140625,4e-06
17,9.78942584991455,9.870699430776304,0.0,4.25e-06
18,9.698602676391602,9.86897846323246,0.0,4.5e-06
19,9.739234924316406,9.867681027843298,0.0,4.75e-06
20,9.70920467376709,9.866096264302536,0.0,5e-06
21,9.69766616821289,9.86441196334164,0.0,5.2500000000000006e-06
22,9.65663719177246,9.862334215625948,0.0,5.5e-06
23,9.648920059204102,9.86020007406173,0.00048828125,5.75e-06
24,9.623994827270508,9.857838021593818,0.0009765625,6e-06
25,9.604217529296877,9.855301816670847,0.000244140625,6.25e-06
26,9.56857681274414,9.85243456663158,0.000244140625,6.5e-06
27,9.578182220458984,9.849692043169854,0.001220703125,6.75e-06
28,9.495861053466797,9.846153733272825,0.0029296875,7e-06
29,9.514080047607422,9.84283299641617,0.00390625,7.25e-06
30,9.501779556274414,9.839422462014754,0.00390625,7.499999999999999e-06
31,9.431126594543455,9.83533950334004,0.005615234375,7.75e-06
32,9.397478103637695,9.830960889343016,0.0078125,8e-06
33,9.377086639404297,9.82642214684363,0.01318359375,8.25e-06
34,9.348989486694336,9.821647820242136,0.016357421875,8.5e-06
35,9.334758758544922,9.816778929625166,0.020751953125,8.750000000000001e-06
36,9.325922012329102,9.811870360452206,0.024169921875,9e-06
37,9.335004806518556,9.807101704912869,0.022216796875,9.25e-06
38,9.27202320098877,9.801750919873628,0.032470703125,9.5e-06
39,9.198527336120604,9.795718684036098,0.036865234375,9.75e-06
40,9.21529769897461,9.789914474185483,0.028076171875,1e-05
41,9.194978713989258,9.78396511658352,0.030517578125,1.025e-05
42,9.179441452026367,9.777919879937947,0.023681640625,1.05e-05
43,9.150375366210938,9.77164443480068,0.0361328125,1.075e-05
44,9.136709213256836,9.76529508258524,0.037109375,1.1e-05
45,9.21735382080078,9.759815669967397,0.033203125,1.125e-05
46,9.083621978759766,9.75305373305532,0.032958984375,1.15e-05
47,9.083013534545898,9.746353331070226,0.033447265625,1.175e-05
48,9.005105972290039,9.738940857482426,0.036376953125,1.2e-05
49,9.05088233947754,9.73206027230238,0.0361328125,1.225e-05
50,9.049948692321776,9.725239156502573,0.02783203125,1.25e-05
51,9.006707191467285,9.71805383685222,0.029052734375,1.2750000000000002e-05
52,8.962676048278809,9.710500058966486,0.033447265625,1.3e-05
53,9.052061080932615,9.703915669186149,0.030517578125,1.325e-05
54,8.996423721313477,9.69684074970742,0.025634765625,1.35e-05
55,9.008153915405272,9.6899538813644,0.030517578125,1.375e-05
56,8.952167510986328,9.682576017660615,0.034912109375,1.4e-05
57,8.951196670532227,9.675262224189332,0.0263671875,1.425e-05
58,8.940254211425781,9.667912144061695,0.0322265625,1.45e-05
59,8.861212730407715,9.659845149925156,0.033447265625,1.475e-05
60,8.940619468688965,9.652652893112792,0.03271484375,1.5e-05
61,8.858665466308594,9.644713018844753,0.036376953125,1.525e-05
62,8.914765357971191,9.637413542236017,0.03515625,1.55e-05
63,8.851737976074219,9.629556786574396,0.03564453125,1.575e-05
64,8.774507522583008,9.621006293934483,0.03955078125,1.6e-05
65,8.79800033569336,9.612776234352072,0.0322265625,1.6250000000000002e-05
66,8.80439567565918,9.604692428765144,0.037109375,1.65e-05
67,8.825148582458496,9.596896990302076,0.03076171875,1.675e-05
68,8.901453971862793,9.589942560117684,0.03271484375,1.7e-05
69,8.682544708251953,9.580868581599026,0.035888671875,1.7250000000000003e-05
70,8.845332145690918,9.573513217239944,0.03076171875,1.7500000000000002e-05
71,8.714042663574219,9.564918511703286,0.036865234375,1.775e-05
72,8.689075469970703,9.55616008128596,0.029052734375,1.8e-05
73,8.653635025024414,9.547134830723346,0.03759765625,1.825e-05
74,8.749954223632812,9.53916302465244,0.037109375,1.85e-05
75,8.712457656860352,9.53089597097452,0.037353515625,1.875e-05
76,8.752449035644531,9.52311150162122,0.03662109375,1.9e-05
77,8.8159761428833,9.51604014803384,0.029541015625,1.925e-05
78,8.659257888793945,9.507472325441444,0.034423828125,1.95e-05
79,8.663314819335938,9.499030750380388,0.03271484375,1.975e-05
80,8.629434585571289,9.490334788732294,0.032958984375,2e-05
81,8.614124298095703,9.481572683825927,0.032958984375,2.025e-05
82,8.58051872253418,9.472562144213011,0.044677734375,2.05e-05
83,8.618310928344727,9.46401963205433,0.040283203125,2.075e-05
84,8.585247039794922,9.455231906131734,0.029052734375,2.1e-05
85,8.62593936920166,9.446938980762432,0.038330078125,2.125e-05
86,8.701628684997559,9.439485877804785,0.033447265625,2.15e-05
87,8.55793571472168,9.430670376173952,0.032470703125,2.1750000000000004e-05
88,8.575187683105469,9.422115549243268,0.03955078125,2.2e-05
89,8.56326675415039,9.41352706129234,0.040283203125,2.225e-05
90,8.565601348876953,9.405047804168184,0.034423828125,2.25e-05
91,8.515979766845703,9.39615712379496,0.031982421875,2.275e-05
92,8.458660125732422,9.386782153814334,0.03857421875,2.3e-05
93,8.499746322631836,9.37791179550251,0.035888671875,2.325e-05
94,8.6607666015625,9.37074034356311,0.04443359375,2.35e-05
95,8.660626411437988,9.363639204241858,0.02197265625,2.375e-05
96,8.470026969909668,9.354703081898537,0.035888671875,2.4e-05
97,8.619831085205078,9.347354361931602,0.039306640625,2.425e-05
98,8.583719253540039,9.339718010847688,0.035888671875,2.4500000000000003e-05
99,8.548452377319336,9.331805354512404,0.03466796875,2.475e-05
100,8.494762420654297,9.323434925173824,0.037841796875,2.5e-05
101,8.545769691467285,9.31565827283676,0.03662109375,2.525e-05
102,8.5066556930542,9.307568247038931,0.039306640625,2.5500000000000003e-05
103,8.341958999633789,9.29791215456488,0.043701171875,2.575e-05
104,8.44010066986084,9.289334039717838,0.038330078125,2.6e-05
105,8.505759239196777,9.281498291712628,0.03759765625,2.625e-05
106,8.594411849975586,9.274627427295256,0.0302734375,2.65e-05
107,8.473974227905273,9.266620895301356,0.039794921875,2.675e-05
108,8.438787460327148,9.258342560951611,0.03759765625,2.7e-05
109,8.510579109191895,9.250864926434016,0.03857421875,2.725e-05
110,8.499418258666992,9.243350459756345,0.029541015625,2.75e-05
111,8.427531242370605,9.235192267582487,0.037353515625,2.775e-05
112,8.46484661102295,9.227488811016892,0.04248046875,2.8e-05
113,8.440755844116211,9.219621481347886,0.0400390625,2.825e-05
114,8.417404174804688,9.211599308282455,0.044921875,2.85e-05
115,8.460817337036133,9.204091488569992,0.033935546875,2.875e-05
116,8.377161026000977,9.1958221839443,0.036865234375,2.9e-05
117,8.468798637390137,9.18855194847876,0.036865234375,2.9250000000000003e-05
118,8.358274459838867,9.180249173592362,0.042236328125,2.95e-05
119,8.494229316711426,9.17338897502355,0.031982421875,2.975e-05
120,8.418439865112305,9.165839483924438,0.040283203125,2.9999999999999997e-05
121,8.362825393676758,9.15780934302196,0.03662109375,3.025e-05
122,8.424452781677246,9.150475777408516,0.0361328125,3.05e-05
123,8.314491271972656,9.142115932354155,0.038330078125,3.075e-05
124,8.461036682128906,9.135305139851903,0.037109375,3.1e-05
125,8.36164665222168,9.127568554975602,0.040771484375,3.125e-05
126,8.32937240600586,9.119586593485904,0.0361328125,3.15e-05
127,8.391132354736328,9.112302051098409,0.036865234375,3.175e-05
128,8.240645408630371,9.103585484673728,0.036865234375,3.2e-05
129,8.414767265319824,9.09669730248019,0.037841796875,3.225e-05
130,8.261310577392578,9.088343435229312,0.0361328125,3.2500000000000004e-05
131,8.292820930480957,9.080388210181829,0.038330078125,3.275e-05
132,8.28630256652832,9.072447353745291,0.039794921875,3.3e-05
133,8.23849868774414,9.064107867085282,0.040771484375,3.325e-05
134,8.228561401367188,9.055752402428102,0.040771484375,3.35e-05
135,8.155465126037598,9.046749529664195,0.047119140625,3.375e-05
136,8.266691207885742,9.038948946446414,0.042724609375,3.4e-05
137,8.330909729003906,9.03186855427199,0.038818359375,3.4250000000000006e-05
138,8.2472505569458,9.024022374298728,0.0439453125,3.4500000000000005e-05
139,8.240185737609863,9.016184007931836,0.04150390625,3.4750000000000004e-05
140,8.247387886047363,9.008496046712994,0.038330078125,3.5000000000000004e-05
141,8.172696113586426,9.000138047381727,0.03759765625,3.525e-05
142,8.274283409118652,8.992879500999097,0.044677734375,3.55e-05
143,8.351221084594727,8.986462916835054,0.0400390625,3.575e-05
144,8.256860733032227,8.979166894997027,0.044189453125,3.6e-05
145,8.14476203918457,8.970822846438901,0.03759765625,3.625e-05
146,8.240432739257812,8.96351894536709,0.04443359375,3.65e-05
147,8.268580436706543,8.956569560280483,0.03857421875,3.675e-05
148,8.298248291015625,8.949986347587835,0.041015625,3.7e-05
149,8.188514709472656,8.942371631206683,0.04345703125,3.725e-05
150,8.166309356689453,8.934611008461511,0.039306640625,3.75e-05
151,8.184932708740234,8.927114225464297,0.03759765625,3.775e-05
152,8.051843643188477,8.918361519641538,0.048095703125,3.8e-05
153,8.226726531982422,8.911445169764947,0.037353515625,3.825e-05
154,8.127205848693848,8.903602776554235,0.0419921875,3.85e-05
155,8.10953140258789,8.895662062814571,0.04052734375,3.875e-05
156,8.22178840637207,8.888923326250145,0.03759765625,3.9e-05
157,8.078219413757324,8.880816287125217,0.03759765625,3.925e-05
158,8.175787925720215,8.873766003511166,0.03857421875,3.95e-05
159,8.16857624053955,8.866714105881451,0.04052734375,3.975e-05
160,8.090551376342773,8.858952478586064,0.039794921875,4e-05
161,8.0653076171875,8.85101602997208,0.043212890625,4.025e-05
162,8.099648475646973,8.843502354428828,0.04296875,4.05e-05
163,8.03858757019043,8.835453206586443,0.047607421875,4.075e-05
164,8.060373306274414,8.827702407583324,0.037353515625,4.1e-05
165,8.040140151977539,8.819826785027267,0.044677734375,4.125e-05
166,8.098758697509766,8.812616104152093,0.037353515625,4.15e-05
167,8.129165649414062,8.805781599604714,0.034423828125,4.1750000000000005e-05
168,8.044477462768555,8.798168558236354,0.03857421875,4.2e-05
169,8.029592514038086,8.790482797794372,0.044921875,4.225e-05
170,8.031774520874023,8.782895715025168,0.047607421875,4.25e-05
171,7.9176554679870605,8.774243312554786,0.0478515625,4.275e-05
172,8.050105094909668,8.767001930378335,0.039794921875,4.3e-05
173,8.126022338867188,8.760592134463224,0.037109375,4.325e-05
174,8.111698150634766,8.754103194624939,0.038330078125,4.350000000000001e-05
175,8.06141471862793,8.747176309864969,0.037841796875,4.3750000000000006e-05
176,8.049003601074219,8.740194582777061,0.0498046875,4.4e-05
177,7.87386417388916,8.73153127868818,0.049072265625,4.425e-05
178,7.976809501647949,8.723984060917779,0.040771484375,4.45e-05
179,8.090034484863281,8.717644565157235,0.03759765625,4.475e-05
180,8.117055892944336,8.711638678435106,0.0419921875,4.5e-05
181,8.064607620239258,8.70516836785315,0.04052734375,4.5249999999999995e-05
182,8.007013320922852,8.698186817383846,0.043212890625,4.55e-05
183,7.985484600067139,8.691059795210679,0.043212890625,4.575e-05
184,8.141357421875,8.685562771477322,0.04443359375,4.6e-05
185,7.968448638916016,8.67839163015171,0.044677734375,4.625e-05
186,7.896007537841797,8.670567789228611,0.050537109375,4.65e-05
187,7.924768924713135,8.663109800583456,0.042236328125,4.675e-05
188,8.117839813232422,8.657657100709946,0.044189453125,4.7e-05
189,7.952263832092285,8.650603168023768,0.037353515625,4.725e-05
190,8.059591293334961,8.64469304927688,0.036376953125,4.75e-05
191,7.921181678771973,8.63745793557183,0.050048828125,4.775e-05
192,7.970515251159668,8.630788508727708,0.044189453125,4.8e-05
193,7.981528282165527,8.624295906462086,0.04345703125,4.825e-05
194,7.923154830932617,8.617284495706793,0.052490234375,4.85e-05
195,7.910489082336426,8.61021654157309,0.047119140625,4.875e-05
196,8.038198471069336,8.604496360868051,0.0400390625,4.9000000000000005e-05
197,8.09896469116211,8.599441044170993,0.04052734375,4.925e-05
198,7.924222469329834,8.59268885842258,0.04931640625,4.95e-05
199,7.917728900909424,8.585939258847448,0.0439453125,4.975e-05
